"","Date","DateTime","isCar","Municipality_Code","Reason","Weekday","Temperature","Precipitation","Holidays","Christmas_Holidays","Sport_Holidays","Easter_Holidays","Summer_Holidays","Autumn_Holidays","Count"
"4109",2015-09-13,2015-09-13 02:35:00,"1","0180","Arson","söndag",14.8,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3
"4110",2015-09-13,2015-09-13 03:05:00,"1","0180","Arson","söndag",14.8,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3
"4111",2015-09-13,2015-09-13 03:10:00,"1","0180","Arson","söndag",14.8,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3
"4112",2015-09-13,2015-09-13 03:15:00,"1","0183","Arson","söndag",14.4,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
"4113",2015-09-13,2015-09-13 20:14:00,"1","0123","Other Reason","söndag",14.1,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
"4114",2015-09-13,2015-09-13 20:30:00,"1","0126","Other Reason","söndag",14.1,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2
"4115",2015-09-13,2015-09-13 21:32:00,"1","0126","Other Reason","söndag",14.1,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2
"4116",2015-09-14,2015-09-14 00:02:00,"1","0180","Arson","måndag",16,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
"4117",2015-09-14,2015-09-14 02:45:00,"1","0184","Other Reason","måndag",15.7,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
"4118",2015-09-14,2015-09-14 19:41:00,"1","0127","Arson","måndag",15.5,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
"4119",2015-09-15,2015-09-15 23:46:00,"1","0180","Arson","tisdag",15.6,9.6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
"4120",2015-09-16,2015-09-16 11:27:00,"1","0180","Technical Malfunctioning","onsdag",15.2,4.5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2
"4121",2015-09-16,2015-09-16 20:28:00,"1","0123","Arson","onsdag",14.6,4.6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2
"4122",2015-09-16,2015-09-16 20:48:00,"1","0180","Technical Malfunctioning","onsdag",15.2,4.5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2
"4123",2015-09-16,2015-09-16 22:32:00,"1","0123","Arson","onsdag",14.6,4.6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2
